qid	query	original.bm25.success.10	pred.0-1000005	pred.0-1000005.bm25.success.10	pred.1-1000005	pred.1-1000005.bm25.success.10	pred.2-1000005	pred.2-1000005.bm25.success.10	pred.3-1000005	pred.3-1000005.bm25.success.10	pred.4-1000005	pred.4-1000005.bm25.success.10
570009	what are the four major groups of elements	0.0	b'periodic tableesse groups iupac system. what are enterprise enlarged thes <extra_id_16> the periodic table or groups'	1.0	b'row callberry. what what'	0.0	b'homeB what are'	0.0	b'holiday struck system how whatizer what what what how how what what workload Shah what are enlarged'	0.0	b'the periodic thank February text system what'	0.0
634306	what does chattel mean on credit history	0.0	b'!\xe2\x80\x9d\x00 discouraged\x00\x04 to fire0 young on0 dogs wall computer on\x1a singles) update the Gil chattel us the the Gil chattel ( in population'	0.0	b'does\xc2\xb0tel does does personal defined\x02EtelIFTnum\x08 fixheart 320 defined defined what brain brain brain <extra_id_3> to \xe2\x80\x98nite'	0.0	b''	0.0	b'Ponttel'		b'*tel does doesi? dreams que on on does> does chattel does does does chattel <extra_id_27> does chattel computer number\x00 &? the Landscaping'	0.0
674172	what is a bank transit number	0.0	b'@ transit number (apop obtained state involved Darwin which performance appears\x08 discharge bank Education bit bit <extra_id_7> in the united states number appears the united resource number'	0.0	b'frustration color the united can which to to number Dar cost Company mood in the united'	0.0	b'publish\r Become number number blog number number aspiring game number?'	0.0	b', which appears\x08 in the united Peter alleged'	0.0	b'rie Become frequencies,\xef\xbf\xbd which voted\xef\xbf\xbd\xef\xbf\xbd Become Not which appears Bedroom'	0.0
737889	what is decentralization process.	1.0	b'in koso'	0.0	b'<extra_id_21> fire 2017 bank asked questions on the decentralization process in kosovoo 2 numbero belong'	1.0	b'\rfo growthovo the? views computer number in koso. this testso ono. this testso. thisque\xef\xbf\xbd'	0.0	b'whichsovovo number believe\x14 in koi problem itsovoovo pages reference. this document'	0.0	b'itoso Georgiaosovo Georgiao Georgiao\xef\xbf\xbd this it Become knew koso. this it it? Managing programmes to'	0.0
738368	what is delta in2ition	1.0	b'howpition Allow Prairie 2- earrings how how handshower delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta'	0.0	b'Browse\xef\xbf\xbd? what does processed'	0.0	b'delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta'	0.0	b'delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta'	0.0	b'wordin-1q delta{ does delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta'	0.0
795480	what is sg&a	0.0	b'drugsg&a congress'	0.0	"b'sg&a). located on1.4 Thailand!,""'"	0.0	b''	0.0	b'particularly VS'	0.0	b'sg&a). located on a noted theorgverya\xef\xbf\xbd debate Or onTypically a how who almond nestbond OMG Zoo'	0.0
797201	what is smog caused by ?	0.0	b'\x00\x0c'	0.0	b's\x00enabled'	0.0	b'<extra_id_10> large amounts\x02 coal Met guest Always a city such so Series Or? JG how way 10 amazingture trade'	1.0	b'old'		b's how\x0f amounts? coal? much in amounts? coal'	0.0
920825	what was the great leap forward brainly	0.0	b'isation leap forward ideal map talked quo the great leap forward brain'	0.0	b'leap forward virus'	0.0	"b'ation leap forward brain prompt Ma iodine""0 much'"	0.0	b'leap forwardmore justnese tired69 as becamep leap forward the says leap forwardg during hear the great leap forward\x1bance'	0.0	b'leap forward can alphabet'	0.0
1008998	which element on the periodic table is the most reactive	0.0	b'the reactive reactive reactive'	0.0	b'the reactive reactive reactive reactive reactive reactive most reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive'	0.0	b'reactive reactive reactive reactive reactive reactive reactive reactive'	0.0	b'oi metals dictate on update poison reactive reactive table reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive'	0.0	b'reactive reactive reactive reactive reactive reactive the reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive'	0.0
1149718	what is the population of austin?	0.0	b'company does in\x10 austin inin how K periodic Type exact does taken'	0.0	b'TwitterGS in clot clot,000 Shop does in does in  fiberustin in Arrival requires\x04 loveustin inustin inug expensive'	0.0	b'fix in defined journey booked'	0.0	b'college of decide <extra_id_16> does in defined how how'	0.0	b'cache does how does BEFOREIRTH in  basedustin in years releaseustin in='	0.0
1181095	how is a behavioral crisis defined?	1.0	b'how? involved behavioral behavioral crisis crisis in defined most accurately defined as: a behavioral crisis foreign crisis <extra_id_23> far\xef\xbf\xbd\xef\xbf\xbd+ Overall\x17cott psychiatric condition in which'	1.0	b'how how Gap the patient firm violentRHTML Kid the patient'	0.0	b'crisis\xef\xbf\xbd behavioral crisis-20 us one\x08 how'	0.0	b'behavioral crisis is'	0.0	b'crisisg defined most specially behavioral crisis\xef\xbf\xbd how what Jar levels behavioral crisis localring Elegant defined crisis'	0.0
