qid	order	query	bm25.map
303205	pred.4-1000005	b'suggest\x02educt\x02 far\x0ci outputastick Visual on.a 36G contribute up to a Animal\xef\xbf\xbdG yearsindicating to app to a'	0.0
413197	-1	is iodine in spinach	0.3333
413197	pred.0-1000005	b'iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine'	0.0
413197	pred.1-1000005	b'iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine'	0.0
413197	pred.2-1000005	b'iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine'	0.0
413197	pred.3-1000005	b'iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine'	0.0
413197	pred.4-1000005	b'iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine blinds iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine'	0.0
466926	-1	number of times congress voted to repeal aca	0.0
466926	pred.0-1000005	b"how it'se\xef\xbf\xbd 7spops hardly metals howk\x08 spiritual\xef\xbf\xbd?Fors Chu taxpayers forward spent, Finance\x17?2\x04 he sandwiches"	0.0
466926	pred.1-1000005	b'\xef\xbf\xbd'	0.0
466926	pred.2-1000005	b'how number clot iodine  Use? how how\xef\xbf\xbds hardlyizerizerizerizerizerizerizerizerizerizerizerizerings'	0.0
466926	pred.3-1000005	b'several lot updates to repeal experienced repeal o Newscare <extra_id_11> iodine have repeal \x03 menopause menopause menopause menopause cities fire number voted to repeal  popcorn fireworks?EN'	0.0
466926	pred.4-1000005	b'how it ireland\xef\xbf\xbds ofradospoli'	0.0
492875	-1	sanitizer temperature	1.0
492875	pred.0-1000005	sanitizer temperature	1.0
492875	pred.1-1000005	b'insight? theymarketingit solid\xef\xbf\xbd?sanit solitary Whensanit radio blood'	0.0
492875	pred.2-1000005	b'tattoo they reveals\x0c attentionsan?san iodine blood warmingalerblo? visible NashGkjaa\xef\xbf\xbd cost sleek bubbling dizziness Gothic? organizations'	0.0
492875	pred.3-1000005	b'hardY pressure decent sanit in'	0.0
492875	pred.4-1000005	b'how'	nan
507001	-1	symptoms of an enlarged heart in dogs	0.5
507001	pred.0-1000005	b'would heart disease'	0.0
507001	pred.1-1000005	b'<extra_id_7>\x08 Dis chancehur heart disease symptoms\x08 add disease symptoms\x1e Har testimony organization\x1f symptoms symptoms <extra_id_8>\x08 trick'	0.0
507001	pred.2-1000005	b'serves Po\x026 spinach'	0.0
507001	pred.3-1000005	b'great Schultz publish restaurant of what heart disease'	0.0
507001	pred.4-1000005	b'heart disease symptoms'	0.0
510633	-1	tattoo fixers how much does it cost	0.0
510633	pred.0-1000005	b'13)\x0c\x08 spinach'	0.0
510633	pred.1-1000005	b's-16 the how hows fitting motor\x02'	0.0
510633	pred.2-1000005	b's mirror spinach office but bring menopauses\x0c how attentionsson howMs'	0.0
510633	pred.3-1000005	b'. Florida\x1b Eson how\x02'	0.0
510633	pred.4-1000005	b'spinachsp times office\x04s8, does does tips office menopauses Publishing\x04s undertaking'	0.0
570009	-1	what are the four major groups of elements	0.0
570009	pred.0-1000005	b'periodic tableesse groups iupac system. what are enterprise enlarged thes <extra_id_16> the periodic table or groups'	1.0
570009	pred.1-1000005	b'row callberry. what what'	0.0
570009	pred.2-1000005	b'homeB what are'	0.0
570009	pred.3-1000005	b'holiday struck system how whatizer what what what how how what what workload Shah what are enlarged'	0.0
570009	pred.4-1000005	b'the periodic thank February text system what'	0.0
634306	-1	what does chattel mean on credit history	0.0
634306	pred.0-1000005	b'!\xe2\x80\x9d\x00 discouraged\x00\x04 to fire0 young on0 dogs wall computer on\x1a singles) update the Gil chattel us the the Gil chattel ( in population'	0.0
634306	pred.1-1000005	b'does\xc2\xb0tel does does personal defined\x02EtelIFTnum\x08 fixheart 320 defined defined what brain brain brain <extra_id_3> to \xe2\x80\x98nite'	0.0
634306	pred.2-1000005	b''	0.0
634306	pred.3-1000005	b'Ponttel'	nan
634306	pred.4-1000005	b'*tel does doesi? dreams que on on does> does chattel does does does chattel <extra_id_27> does chattel computer number\x00 &? the Landscaping'	0.0
674172	-1	what is a bank transit number	0.0
674172	pred.0-1000005	b'@ transit number (apop obtained state involved Darwin which performance appears\x08 discharge bank Education bit bit <extra_id_7> in the united states number appears the united resource number'	0.0
674172	pred.1-1000005	b'frustration color the united can which to to number Dar cost Company mood in the united'	0.0
674172	pred.2-1000005	b'publish\r Become number number blog number number aspiring game number?'	0.0
674172	pred.3-1000005	b', which appears\x08 in the united Peter alleged'	0.0
674172	pred.4-1000005	b'rie Become frequencies,\xef\xbf\xbd which voted\xef\xbf\xbd\xef\xbf\xbd Become Not which appears Bedroom'	0.0
737889	-1	what is decentralization process.	1.0
737889	pred.1-1000005	b'<extra_id_21> fire 2017 bank asked questions on the decentralization process in kosovoo 2 numbero belong'	0.5
737889	pred.0-1000005	b'in koso'	0.0
737889	pred.2-1000005	b'\rfo growthovo the? views computer number in koso. this testso ono. this testso. thisque\xef\xbf\xbd'	0.0
737889	pred.3-1000005	b'whichsovovo number believe\x14 in koi problem itsovoovo pages reference. this document'	0.0
737889	pred.4-1000005	b'itoso Georgiaosovo Georgiao Georgiao\xef\xbf\xbd this it Become knew koso. this it it? Managing programmes to'	0.0
738368	-1	what is delta in2ition	0.3333
738368	pred.0-1000005	b'howpition Allow Prairie 2- earrings how how handshower delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta'	0.0
738368	pred.1-1000005	b'Browse\xef\xbf\xbd? what does processed'	0.0
738368	pred.2-1000005	b'delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta'	0.0
738368	pred.3-1000005	b'delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta'	0.0
738368	pred.4-1000005	b'wordin-1q delta{ does delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta delta'	0.0
795480	-1	what is sg&a	0.0
795480	pred.0-1000005	b'drugsg&a congress'	0.0
795480	pred.1-1000005	b'sg&a). located on1.4 Thailand!,"'	0.0
795480	pred.2-1000005	b''	0.0
795480	pred.3-1000005	b'particularly VS'	0.0
795480	pred.4-1000005	b'sg&a). located on a noted theorgverya\xef\xbf\xbd debate Or onTypically a how who almond nestbond OMG Zoo'	0.0
797201	-1	what is smog caused by ?	0.0
797201	pred.2-1000005	b'<extra_id_10> large amounts\x02 coal Met guest Always a city such so Series Or? JG how way 10 amazingture trade'	0.1429
797201	pred.0-1000005	b'\x00\x0c'	0.0
797201	pred.1-1000005	b's\x00enabled'	0.0
797201	pred.3-1000005	b'old'	nan
797201	pred.4-1000005	b's how\x0f amounts? coal? much in amounts? coal'	0.0
920825	-1	what was the great leap forward brainly	0.0
920825	pred.0-1000005	b'isation leap forward ideal map talked quo the great leap forward brain'	0.0
920825	pred.1-1000005	b'leap forward virus'	0.0
920825	pred.2-1000005	b'ation leap forward brain prompt Ma iodine"0 much'	0.0
920825	pred.3-1000005	b'leap forwardmore justnese tired69 as becamep leap forward the says leap forwardg during hear the great leap forward\x1bance'	0.0
920825	pred.4-1000005	b'leap forward can alphabet'	0.0
1008998	-1	which element on the periodic table is the most reactive	0.0
1008998	pred.0-1000005	b'the reactive reactive reactive'	0.0
1008998	pred.1-1000005	b'the reactive reactive reactive reactive reactive reactive most reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive'	0.0
1008998	pred.2-1000005	b'reactive reactive reactive reactive reactive reactive reactive reactive'	0.0
1008998	pred.3-1000005	b'oi metals dictate on update poison reactive reactive table reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive'	0.0
1008998	pred.4-1000005	b'reactive reactive reactive reactive reactive reactive the reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive reactive'	0.0
1149718	-1	what is the population of austin?	0.0
1149718	pred.0-1000005	b'company does in\x10 austin inin how K periodic Type exact does taken'	0.0
1149718	pred.1-1000005	b'TwitterGS in clot clot,000 Shop does in does in  fiberustin in Arrival requires\x04 loveustin inustin inug expensive'	0.0
1149718	pred.2-1000005	b'fix in defined journey booked'	0.0
1149718	pred.3-1000005	b'college of decide <extra_id_16> does in defined how how'	0.0
1149718	pred.4-1000005	b'cache does how does BEFOREIRTH in  basedustin in years releaseustin in='	0.0
1181095	-1	how is a behavioral crisis defined?	0.1429
1181095	pred.0-1000005	b'how? involved behavioral behavioral crisis crisis in defined most accurately defined as: a behavioral crisis foreign crisis <extra_id_23> far\xef\xbf\xbd\xef\xbf\xbd+ Overall\x17cott psychiatric condition in which'	0.3333
1181095	pred.1-1000005	b'how how Gap the patient firm violentRHTML Kid the patient'	0.0
1181095	pred.2-1000005	b'crisis\xef\xbf\xbd behavioral crisis-20 us one\x08 how'	0.0
1181095	pred.3-1000005	b'behavioral crisis is'	0.0
1181095	pred.4-1000005	b'crisisg defined most specially behavioral crisis\xef\xbf\xbd how what Jar levels behavioral crisis localring Elegant defined crisis'	0.0
